RandRep,Treat,Gen,CovParm,Subject,Estimate
876,1,4,"UN(3,2)",Vial(Treat*Line),0.03614
876,1,4,"UN(3,3)",Vial(Treat*Line),0.1546
876,1,4,"UN(4,1)",Vial(Treat*Line),0.01846
876,1,4,"UN(4,2)",Vial(Treat*Line),-0.00244
876,1,4,"UN(4,3)",Vial(Treat*Line),-0.04615
876,1,4,"UN(4,4)",Vial(Treat*Line),0
876,1,4,"UN(5,1)",Vial(Treat*Line),0.1223
876,1,4,"UN(5,2)",Vial(Treat*Line),0.06179
876,1,4,"UN(5,3)",Vial(Treat*Line),-0.01114
876,1,4,"UN(5,4)",Vial(Treat*Line),0.02398
876,1,4,"UN(5,5)",Vial(Treat*Line),0.03666
876,1,4,"UN(6,1)",Vial(Treat*Line),-0.03063
876,1,4,"UN(6,2)",Vial(Treat*Line),-0.05534
876,1,4,"UN(6,3)",Vial(Treat*Line),-0.06278
876,1,4,"UN(6,4)",Vial(Treat*Line),0.005137
876,1,4,"UN(6,5)",Vial(Treat*Line),-0.01931
876,1,4,"UN(6,6)",Vial(Treat*Line),0.04532
876,1,4,"UN(1,1)",Anim(Trea*Line*Vial),0.5360
876,1,4,"UN(2,1)",Anim(Trea*Line*Vial),0.1941
876,1,4,"UN(2,2)",Anim(Trea*Line*Vial),0.7959
876,1,4,"UN(3,1)",Anim(Trea*Line*Vial),-0.01488
876,1,4,"UN(3,2)",Anim(Trea*Line*Vial),0.04743
876,1,4,"UN(3,3)",Anim(Trea*Line*Vial),0.6656
876,1,4,"UN(4,1)",Anim(Trea*Line*Vial),0.06866
876,1,4,"UN(4,2)",Anim(Trea*Line*Vial),0.03589
876,1,4,"UN(4,3)",Anim(Trea*Line*Vial),-0.01470
876,1,4,"UN(4,4)",Anim(Trea*Line*Vial),0.7323
876,1,4,"UN(5,1)",Anim(Trea*Line*Vial),0.1642
876,1,4,"UN(5,2)",Anim(Trea*Line*Vial),0.5422
876,1,4,"UN(5,3)",Anim(Trea*Line*Vial),-0.1734
876,1,4,"UN(5,4)",Anim(Trea*Line*Vial),0.07792
876,1,4,"UN(5,5)",Anim(Trea*Line*Vial),0.8159
876,1,4,"UN(6,1)",Anim(Trea*Line*Vial),-0.02286
